Dataset	Celltype	Gene
Brain_PFC_MohammadisDavila2020	Endo	LAMA2
Brain_PFC_MohammadisDavila2020	Endo	LAMA4
Brain_PFC_MohammadisDavila2020	Endo	LDLRAD3
Brain_PFC_MohammadisDavila2020	Endo	LEF1
Brain_PFC_MohammadisDavila2020	Endo	LGALS1
Brain_PFC_MohammadisDavila2020	Endo	LHFP
Brain_PFC_MohammadisDavila2020	Endo	LMO2
Brain_PFC_MohammadisDavila2020	Endo	LPP
Brain_PFC_MohammadisDavila2020	Endo	MACF1
Brain_PFC_MohammadisDavila2020	Endo	MAML2
Brain_PFC_MohammadisDavila2020	Endo	MECOM
Brain_PFC_MohammadisDavila2020	Endo	MFSD2A
Brain_PFC_MohammadisDavila2020	Endo	MSN
Brain_PFC_MohammadisDavila2020	Endo	MT1E
Brain_PFC_MohammadisDavila2020	Endo	MT2A
Brain_PFC_MohammadisDavila2020	Endo	MTUS1
Brain_PFC_MohammadisDavila2020	Endo	MYH9
Brain_PFC_MohammadisDavila2020	Endo	MYL6
Brain_PFC_MohammadisDavila2020	Endo	MYO10
Brain_PFC_MohammadisDavila2020	Endo	MYO1B
Brain_PFC_MohammadisDavila2020	Endo	MYO1E
Brain_PFC_MohammadisDavila2020	Endo	NAMPT
Brain_PFC_MohammadisDavila2020	Endo	NDUFA4L2
Brain_PFC_MohammadisDavila2020	Endo	NEDD9
Brain_PFC_MohammadisDavila2020	Endo	NET1
Brain_PFC_MohammadisDavila2020	Endo	NFKBIA
Brain_PFC_MohammadisDavila2020	Endo	NOSTRIN
Brain_PFC_MohammadisDavila2020	Endo	NOTCH3
Brain_PFC_MohammadisDavila2020	Endo	NXN
Brain_PFC_MohammadisDavila2020	Endo	PALMD
Brain_PFC_MohammadisDavila2020	Endo	PAM
Brain_PFC_MohammadisDavila2020	Endo	PARD3
Brain_PFC_MohammadisDavila2020	Endo	PARP14
Brain_PFC_MohammadisDavila2020	Endo	PDGFRB
Brain_PFC_MohammadisDavila2020	Endo	PDLIM5
Brain_PFC_MohammadisDavila2020	Endo	PECAM1
Brain_PFC_MohammadisDavila2020	Endo	PICALM
Brain_PFC_MohammadisDavila2020	Endo	PLCB4
Brain_PFC_MohammadisDavila2020	Endo	PLEKHG1
Brain_PFC_MohammadisDavila2020	Endo	PODXL
Brain_PFC_MohammadisDavila2020	Endo	PPFIBP1
Brain_PFC_MohammadisDavila2020	Endo	PREX2
Brain_PFC_MohammadisDavila2020	Endo	PRKCH
Brain_PFC_MohammadisDavila2020	Endo	PTMA
Brain_PFC_MohammadisDavila2020	Endo	PTPRB
Brain_PFC_MohammadisDavila2020	Endo	PTPRG
Brain_PFC_MohammadisDavila2020	Endo	PTPRM
Brain_PFC_MohammadisDavila2020	Endo	PTRF
Brain_PFC_MohammadisDavila2020	Endo	RAP1B
Brain_PFC_MohammadisDavila2020	Endo	RAPGEF1
Brain_PFC_MohammadisDavila2020	Endo	RBMS1
Brain_PFC_MohammadisDavila2020	Endo	RBMS2
Brain_PFC_MohammadisDavila2020	Endo	RBMS3
Brain_PFC_MohammadisDavila2020	Endo	RBPMS
Brain_PFC_MohammadisDavila2020	Endo	RELL1
Brain_PFC_MohammadisDavila2020	Endo	RGS5
Brain_PFC_MohammadisDavila2020	Endo	RHOJ
Brain_PFC_MohammadisDavila2020	Endo	RNF144B
Brain_PFC_MohammadisDavila2020	Endo	RORA
Brain_PFC_MohammadisDavila2020	Endo	RPL10
Brain_PFC_MohammadisDavila2020	Endo	RPL13
Brain_PFC_MohammadisDavila2020	Endo	RPLP1
Brain_PFC_MohammadisDavila2020	Endo	RPS15
Brain_PFC_MohammadisDavila2020	Endo	RPS19
Brain_PFC_MohammadisDavila2020	Endo	RPS27A
Brain_PFC_MohammadisDavila2020	Endo	RPS6
Brain_PFC_MohammadisDavila2020	Endo	SASH1
Brain_PFC_MohammadisDavila2020	Endo	SAT1
Brain_PFC_MohammadisDavila2020	Endo	SCARB1
Brain_PFC_MohammadisDavila2020	Endo	SERF2
Brain_PFC_MohammadisDavila2020	Endo	SERPINB6
Brain_PFC_MohammadisDavila2020	Endo	SLC2A1
Brain_PFC_MohammadisDavila2020	Endo	SLC38A5
Brain_PFC_MohammadisDavila2020	Endo	SLC39A10
Brain_PFC_MohammadisDavila2020	Endo	SLC39A8
Brain_PFC_MohammadisDavila2020	Endo	SLC6A12
Brain_PFC_MohammadisDavila2020	Endo	SLC7A1
Brain_PFC_MohammadisDavila2020	Endo	SLC7A11
